Log file status checked - Created
Collecting Started
Measurement Taken: 1107
Measurement Taken: 801
Measurement Taken: 533
Measurement Taken: 1149
Measurement Taken: 731
Measurement Taken: 713
Measurement Taken: 796
Measurement Taken: 1127
Measurement Taken: 905
Measurement Taken: 305
Measurement Taken: 340
Measurement Taken: 96
Measurement Taken: 278
Measurement Taken: 1275
Measurement Taken: 67
Measurement Taken: 282
Measurement Taken: 532
Measurement Taken: 21
Measurement Taken: 433
Measurement Taken: 1174
Measurement Taken: 1076
Measurement Taken: 285
Measurement Taken: 1359
Measurement Taken: 1332
Measurement Taken: 1101
Measurement Taken: 474
Measurement Taken: 926
Measurement Taken: 830
Measurement Taken: 1204
Measurement Taken: 214
Measurement Taken: 937
Measurement Taken: 532
Measurement Taken: 1004
Measurement Taken: 253
Measurement Taken: 302
Measurement Taken: 883
Measurement Taken: 930
Measurement Taken: 1201
Measurement Taken: 46
Measurement Taken: 1197
Measurement Taken: 125
Measurement Taken: 1093
Measurement Taken: 292
Measurement Taken: 1195
Measurement Taken: 524
Measurement Taken: 551
Measurement Taken: 535
Measurement Taken: 1057
Measurement Taken: 375
Measurement Taken: 175
Measurement Taken: 998
Measurement Taken: 1312
Measurement Taken: 665
Measurement Taken: 345
Measurement Taken: 329
Measurement Taken: 822
Measurement Taken: 832
Measurement Taken: 590
Measurement Taken: 47
Measurement Taken: 257
Measurement Taken: 1176
Measurement Taken: 1355
Measurement Taken: 1312
Measurement Taken: 690
Measurement Taken: 757
Measurement Taken: 1198
Measurement Taken: 482
Measurement Taken: 25
Measurement Taken: 973
Measurement Taken: 574
Measurement Taken: 741
Measurement Taken: 721
Measurement Taken: 1364
Measurement Taken: 626
Measurement Taken: 1049
Measurement Taken: 1373
Measurement Taken: 1382
Measurement Taken: 164
Measurement Taken: 808
Measurement Taken: 550
Measurement Taken: 1329
Measurement Taken: 1259
Measurement Taken: 454
Measurement Taken: 1029
Measurement Taken: 606
Measurement Taken: 1015
Measurement Taken: 1257
Measurement Taken: 658
Measurement Taken: 1314
Measurement Taken: 869
Measurement Taken: 51
Measurement Taken: 340
Measurement Taken: 1153
Measurement Taken: 1179
Measurement Taken: 20
Measurement Taken: 159
Measurement Taken: 1170
Measurement Taken: 991
Measurement Taken: 437
Measurement Taken: 716
Measurement Taken: 69
Measurement Taken: 510
Measurement Taken: 84
Measurement Taken: 1191
Measurement Taken: 823
Measurement Taken: 277
Measurement Taken: 1337
Measurement Taken: 38
Measurement Taken: 686
Measurement Taken: 346
Measurement Taken: 829
Measurement Taken: 667
Measurement Taken: 1172
Measurement Taken: 887
Measurement Taken: 317
Measurement Taken: 1307
Measurement Taken: 900
Measurement Taken: 283
Measurement Taken: 84
Measurement Taken: 1132
Measurement Taken: 1330
Measurement Taken: 1213
Measurement Taken: 101
Measurement Taken: 103
Measurement Taken: 522
Measurement Taken: 401
Measurement Taken: 957
Measurement Taken: 184
Measurement Taken: 605
Measurement Taken: 889
Measurement Taken: 202
Measurement Taken: 391
Measurement Taken: 1116
Measurement Taken: 91
Measurement Taken: 480
Measurement Taken: 818
Measurement Taken: 1175
Measurement Taken: 653
Measurement Taken: 205
Measurement Taken: 328
Measurement Taken: 1067
Measurement Taken: 1218
Measurement Taken: 1362
Measurement Taken: 967
Measurement Taken: 39
Collecting Stopped
Object Disposed
